,Team,Actual_Score,Year,Predicted_Score
745,BRK,2.0,2021,7.0
746,DEN,2.0,2021,7.0
747,PHI,2.0,2021,10.0
748,UTA,2.0,2021,0.0
749,BOS,1.0,2021,2.0
750,DAL,1.0,2021,0.0
751,LAL,1.0,2021,0.0
752,MEM,1.0,2021,0.0
753,MIA,1.0,2021,0.0
754,NYK,1.0,2021,1.0
755,POR,1.0,2021,1.0
756,WAS,1.0,2021,4.0
757,CHO,0.0,2021,1.0
758,CHI,0.0,2021,4.0
759,CLE,0.0,2021,0.0
760,DET,0.0,2021,0.0
761,GSW,0.0,2021,0.0
762,HOU,0.0,2021,0.0
763,IND,0.0,2021,1.0
764,MIN,0.0,2021,2.0
765,NOP,0.0,2021,2.0
766,OKC,0.0,2021,0.0
767,ORL,0.0,2021,0.0
768,SAC,0.0,2021,7.0
769,SAS,0.0,2021,1.0
770,TOR,0.0,2021,2.0
771,GSW,10.0,2022,1.0
772,BOS,7.0,2022,2.0
773,DAL,4.0,2022,1.0
774,MIA,4.0,2022,7.0
775,MEM,2.0,2022,4.0
776,MIL,2.0,2022,1.0
777,PHI,2.0,2022,4.0
778,PHO,2.0,2022,2.0
779,ATL,1.0,2022,0.0
780,BRK,1.0,2022,0.0
781,CHI,1.0,2022,1.0
782,DEN,1.0,2022,2.0
783,MIN,1.0,2022,0.0
784,NOP,1.0,2022,4.0
785,TOR,1.0,2022,1.0
786,UTA,1.0,2022,4.0
787,CHO,0.0,2022,2.0
788,CLE,0.0,2022,1.0
789,DET,0.0,2022,2.0
790,HOU,0.0,2022,0.0
791,IND,0.0,2022,0.0
792,LAC,0.0,2022,10.0
793,LAL,0.0,2022,0.0
794,NYK,0.0,2022,0.0
795,OKC,0.0,2022,0.0
796,ORL,0.0,2022,2.0
797,POR,0.0,2022,0.0
798,SAC,0.0,2022,0.0
799,SAS,0.0,2022,1.0
800,WAS,0.0,2022,1.0
