,Team,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,DRB%,FT/FGA_opp
24,New Jersey Nets,-3.78,0.58,-3.2,99.5,103.6,-4.1,91.5,0.301,0.163,0.485,0.434,13.7,31.1,0.231,0.481,15.2,69.7,0.238
25,Denver Nuggets,-6.6,-0.07,-6.67,103.1,110.4,-7.3,90.5,0.332,0.231,0.511,0.459,13.9,30.1,0.253,0.499,13.2,69.2,0.248
26,Vancouver Grizzlies,-8.66,-0.28,-8.94,98.4,107.9,-9.5,89.0,0.367,0.118,0.498,0.447,16.0,30.9,0.263,0.492,14.7,66.9,0.261
27,Los Angeles Clippers,-8.82,-0.12,-8.94,100.0,109.7,-9.7,89.5,0.306,0.167,0.497,0.454,14.9,30.6,0.22,0.503,14.8,66.9,0.279
28,Chicago Bulls,-9.46,0.88,-8.58,92.4,103.0,-10.6,88.1,0.309,0.159,0.47,0.424,15.1,26.8,0.219,0.483,15.3,71.7,0.241
29,League Average,0.0,0.0,0.0,102.2,102.2,,88.9,0.33,0.168,0.511,0.466,14.6,30.2,0.24,0.466,14.6,69.8,0.24
0,Los Angeles Lakers*,8.55,-0.14,8.41,107.3,98.2,9.1,93.3,0.346,0.153,0.525,0.484,12.7,30.6,0.241,0.443,13.4,73.1,0.222
1,Portland Trail Blazers*,6.4,-0.04,6.36,107.9,100.8,7.1,89.9,0.316,0.175,0.546,0.501,14.5,30.3,0.24,0.461,13.8,72.4,0.217
2,San Antonio Spurs*,5.94,-0.02,5.92,105.0,98.6,6.4,90.8,0.346,0.138,0.535,0.488,14.3,27.8,0.258,0.451,13.5,73.0,0.188
3,Phoenix Suns*,5.22,0.02,5.24,104.6,99.0,5.6,94.0,0.286,0.184,0.532,0.491,15.2,29.3,0.217,0.454,15.7,70.5,0.245
4,Utah Jazz*,4.46,0.05,4.52,107.3,102.3,5.0,89.6,0.337,0.134,0.54,0.49,14.3,29.5,0.26,0.477,15.0,73.2,0.256
5,Indiana Pacers*,4.6,-0.45,4.15,108.5,103.6,4.9,93.1,0.302,0.224,0.552,0.503,13.3,24.9,0.245,0.469,12.6,71.5,0.197
6,Miami Heat*,3.11,-0.36,2.75,104.5,101.0,3.5,89.7,0.283,0.186,0.533,0.495,14.5,28.2,0.208,0.453,13.3,72.9,0.229
7,Sacramento Kings*,2.91,0.12,3.04,105.0,102.1,2.9,99.3,0.277,0.227,0.526,0.486,13.9,27.7,0.209,0.479,15.1,69.7,0.198
8,Charlotte Hornets*,2.67,-0.34,2.33,104.3,101.4,2.9,93.9,0.376,0.153,0.53,0.475,13.7,25.7,0.285,0.478,14.6,73.2,0.198
9,Minnesota Timberwolves*,2.52,0.14,2.67,106.1,103.4,2.7,91.8,0.256,0.104,0.525,0.485,12.9,29.4,0.2,0.474,14.0,73.0,0.25
10,New York Knicks*,1.46,-0.16,1.3,102.5,100.9,1.6,89.2,0.283,0.147,0.527,0.482,14.4,24.7,0.221,0.455,13.6,73.1,0.251
11,Detroit Pistons*,1.44,-0.31,1.13,107.3,105.8,1.5,95.7,0.378,0.184,0.548,0.492,14.3,26.8,0.295,0.499,15.4,71.6,0.249
12,Philadelphia 76ers*,1.34,-0.32,1.02,101.5,100.0,1.5,92.7,0.329,0.095,0.501,0.457,14.2,31.4,0.233,0.466,16.2,69.9,0.229
13,Seattle SuperSonics*,0.95,0.22,1.17,105.6,104.6,1.0,93.4,0.282,0.232,0.52,0.487,12.9,28.5,0.196,0.483,14.0,69.6,0.193
14,Orlando Magic,0.68,-0.26,0.43,102.4,101.7,0.7,97.3,0.305,0.124,0.516,0.473,15.4,31.6,0.224,0.476,15.9,69.9,0.226
15,Milwaukee Bucks*,0.22,-0.28,-0.06,108.2,107.9,0.3,92.7,0.29,0.157,0.539,0.494,13.8,30.0,0.228,0.496,14.6,69.6,0.254
16,Toronto Raptors*,-0.16,-0.3,-0.46,104.7,104.9,-0.2,92.5,0.3,0.17,0.511,0.464,12.7,30.1,0.23,0.48,14.2,71.8,0.247
17,Dallas Mavericks,-0.57,0.29,-0.29,106.6,107.2,-0.6,94.9,0.248,0.188,0.532,0.49,12.6,25.5,0.2,0.488,14.2,66.1,0.21
18,Boston Celtics,-0.76,-0.24,-1.0,104.8,105.6,-0.8,94.6,0.316,0.183,0.52,0.474,13.8,30.4,0.236,0.498,15.8,73.8,0.306
19,Houston Rockets,-0.87,0.3,-0.57,104.8,105.7,-0.9,94.2,0.322,0.244,0.536,0.494,15.8,29.1,0.236,0.481,12.5,71.6,0.201
20,New Jersey Nets,-1.04,-0.15,-1.18,105.1,106.3,-1.2,92.5,0.297,0.2,0.517,0.468,12.6,28.1,0.233,0.491,15.2,67.2,0.223
21,Denver Nuggets,-2.12,0.36,-1.76,103.5,105.8,-2.3,94.7,0.306,0.202,0.517,0.476,14.0,29.2,0.222,0.479,13.0,71.6,0.235
22,Washington Wizards,-3.28,-0.19,-3.47,103.5,107.0,-3.5,92.7,0.315,0.133,0.521,0.476,14.8,30.6,0.234,0.489,13.9,71.7,0.273
